 3.02316025e-01 -1.02229336e-12  3.02316025e-01 -2.21422880e-12 
 3.02058785e-01 -1.01874065e-12  3.02058785e-01 -2.20978791e-12 
 3.03131042e-01 -1.04449782e-12  3.03131042e-01 -2.31725750e-12 
 3.01940976e-01 -1.04183329e-12  3.01940976e-01 -2.19468888e-12 
 3.02803163e-01 -1.06137321e-12  3.02803163e-01 -2.18314256e-12 
 3.03436252e-01 -1.04272146e-12  3.03436252e-01 -2.34745556e-12 
 3.01785287e-01 -1.03472786e-12  3.01785287e-01 -2.19557705e-12 
 3.02826578e-01 -1.04893871e-12  3.02826578e-01 -2.28439490e-12 
 3.02193726e-01 -9.99200722e-13  3.02193726e-01 -2.20534702e-12 
 3.01844370e-01 -1.00008890e-12  3.01844370e-01 -2.18847163e-12 
 3.02816388e-01 -1.04005693e-12  3.02816388e-01 -2.26574315e-12 
 3.02927259e-01 -1.03739239e-12  3.02927259e-01 -2.25419683e-12 
 3.02061191e-01 -1.00985886e-12  3.02061191e-01 -2.17781349e-12 
 3.01853641e-01 -1.01429976e-12  3.01853641e-01 -2.14050999e-12 
 3.01790467e-01 -9.92095295e-13  3.01790467e-01 -2.11475282e-12 
 3.02440995e-01 -1.00897068e-12  3.02440995e-01 -2.22577512e-12 
 3.02715443e-01 -1.04982689e-12  3.02715443e-01 -2.20534702e-12 
 3.02232756e-01 -1.02406972e-12  3.02232756e-01 -2.21422880e-12 
 3.02448839e-01 -1.02673425e-12  3.02448839e-01 -2.24265051e-12 
 3.02195132e-01 -1.01341158e-12  3.02195132e-01 -2.19557705e-12 
 3.02281301e-01 -1.06314957e-12  3.02281301e-01 -2.24975594e-12 
 3.02609301e-01 -1.02495790e-12  3.02609301e-01 -2.25863772e-12 
 3.01649393e-01 -1.00719433e-12  3.01649393e-01 -2.13162821e-12 
 3.02209627e-01 -1.04094511e-12  3.02209627e-01 -2.27906582e-12 
 3.03687009e-01 -1.07824860e-12  3.03687009e-01 -2.33413289e-12 
 3.02078597e-01 -1.00985886e-12  3.02078597e-01 -2.20001795e-12 
 3.02277807e-01 -1.02229336e-12  3.02277807e-01 -2.19024798e-12 
 3.02296325e-01 -1.00452979e-12  3.02296325e-01 -2.21067609e-12 
 3.01753899e-01 -1.00097708e-12  3.01753899e-01 -2.18847163e-12 
 3.02202241e-01 -1.01785247e-12  3.02202241e-01 -2.16182627e-12 
 3.02665263e-01 -1.02229336e-12  3.02665263e-01 -2.25153229e-12 
 3.02147205e-01 -1.02140518e-12  3.02147205e-01 -2.22399876e-12 
 3.02349092e-01 -1.02495790e-12  3.02349092e-01 -2.28261854e-12 
 3.01902438e-01 -1.03117515e-12  3.01902438e-01 -2.21334062e-12 
 3.01617510e-01 -1.02495790e-12  3.01617510e-01 -2.19735341e-12 
 3.02631143e-01 -1.04893871e-12  3.02631143e-01 -2.22488694e-12 
 3.02055175e-01 -9.82325332e-13  3.02055175e-01 -2.24975594e-12 
 3.02126223e-01 -1.00985886e-12  3.02126223e-01 -2.14939178e-12 
 3.02604146e-01 -1.02939879e-12  3.02604146e-01 -2.19912977e-12 
 3.02957680e-01 -1.02495790e-12  3.02957680e-01 -2.24265051e-12 
 3.03097620e-01 -1.04005693e-12  3.03097620e-01 -2.32613928e-12 
 3.02304229e-01 -1.03650422e-12  3.02304229e-01 -2.24176233e-12 
 3.03370095e-01 -1.04538600e-12  3.03370095e-01 -2.29771757e-12 
 3.02386892e-01 -1.03117515e-12  3.02386892e-01 -2.19557705e-12 
 3.01989893e-01 -1.01785247e-12  3.01989893e-01 -2.23376873e-12 
 3.02664766e-01 -1.04449782e-12  3.02664766e-01 -2.18758345e-12 
 3.02781205e-01 -1.01785247e-12  3.02781205e-01 -2.25242047e-12 
 3.01727690e-01 -1.00275344e-12  3.01727690e-01 -2.23199237e-12 
 3.03031058e-01 -1.02762243e-12  3.03031058e-01 -2.20445884e-12 
 3.01750778e-01 -9.96536187e-13  3.01750778e-01 -2.21866969e-12 
 3.02904164e-01 -1.02851061e-12  3.02904164e-01 -2.16981988e-12 
 3.02723326e-01 -1.02406972e-12  3.02723326e-01 -2.19735341e-12 
 3.02261627e-01 -1.01874065e-12  3.02261627e-01 -2.24353869e-12 
 3.02231166e-01 -1.03206332e-12  3.02231166e-01 -2.24531505e-12 
 3.03120016e-01 -1.02851061e-12  3.03120016e-01 -2.23021601e-12 
 3.01827456e-01 -9.96536187e-13  3.01827456e-01 -2.18314256e-12 
 3.02104384e-01 -1.03739239e-12  3.02104384e-01 -2.18669527e-12 
 3.02569808e-01 -1.04893871e-12  3.02569808e-01 -2.24176233e-12 
 3.02235176e-01 -1.02406972e-12  3.02235176e-01 -2.18580709e-12 
 3.02050367e-01 -9.93871652e-13  3.02050367e-01 -2.19557705e-12 
 3.01943313e-01 -1.02229336e-12  3.01943313e-01 -2.20445884e-12 
 3.01888233e-01 -1.02318154e-12  3.01888233e-01 -2.16715534e-12 
 3.02593704e-01 -1.02495790e-12  3.02593704e-01 -2.24442687e-12 
 3.02949444e-01 -1.05959685e-12  3.02949444e-01 -2.24442687e-12 
 3.02449505e-01 -1.03561604e-12  3.02449505e-01 -2.13695728e-12 
 3.01840065e-01 -1.02495790e-12  3.01840065e-01 -2.12896367e-12 
 3.02497974e-01 -1.01518793e-12  3.02497974e-01 -2.27196040e-12 
 3.02340983e-01 -1.03561604e-12  3.02340983e-01 -2.17692531e-12 
 3.01641307e-01 -1.00097708e-12  3.01641307e-01 -2.23021601e-12 
 3.02304757e-01 -1.01518793e-12  3.02304757e-01 -2.18669527e-12 
 3.02557830e-01 -1.03117515e-12  3.02557830e-01 -2.24709140e-12 
 3.02594531e-01 -1.03916875e-12  3.02594531e-01 -2.22222241e-12 
 3.02830462e-01 -1.02762243e-12  3.02830462e-01 -2.22044605e-12 
 3.02656356e-01 -1.03561604e-12  3.02656356e-01 -2.17603713e-12 
 3.02360143e-01 -1.03561604e-12  3.02360143e-01 -2.19735341e-12 
 3.02982915e-01 -1.05426778e-12  3.02982915e-01 -2.24176233e-12 
 3.01364730e-01 -1.01785247e-12  3.01364730e-01 -2.12985185e-12 
 3.02346010e-01 -1.03206332e-12  3.02346010e-01 -2.18403073e-12 
 3.02600764e-01 -1.01696429e-12  3.02600764e-01 -2.19024798e-12 
 3.01418816e-01 -9.94759830e-13  3.01418816e-01 -2.13873363e-12 
 3.01734012e-01 -1.00897068e-12  3.01734012e-01 -2.23554508e-12 
 3.02367764e-01 -1.04449782e-12  3.02367764e-01 -2.23465690e-12 
 3.02785608e-01 -1.05782050e-12  3.02785608e-01 -2.25863772e-12 
 3.02382239e-01 -1.01962883e-12  3.02382239e-01 -2.20889973e-12 
 3.02226954e-01 -1.01874065e-12  3.02226954e-01 -2.18047802e-12 
 3.03324274e-01 -1.04982689e-12  3.03324274e-01 -2.23643326e-12 
 3.02265953e-01 -1.03916875e-12  3.02265953e-01 -2.20268248e-12 
 3.03014076e-01 -1.04360964e-12  3.03014076e-01 -2.27906582e-12 
 3.02218154e-01 -1.04094511e-12  3.02218154e-01 -2.20534702e-12 
 3.02343914e-01 -1.03650422e-12  3.02343914e-01 -2.16537899e-12 
 3.01570116e-01 -9.97424365e-13  3.01570116e-01 -2.15560902e-12 
 3.02620106e-01 -1.04627418e-12  3.02620106e-01 -2.30926389e-12 
 3.02257380e-01 -1.02229336e-12  3.02257380e-01 -2.26307861e-12 
 3.02439068e-01 -1.03206332e-12  3.02439068e-01 -2.18403073e-12 
 3.02669887e-01 -1.03828057e-12  3.02669887e-01 -2.23909780e-12 
 3.02132127e-01 -1.03028697e-12  3.02132127e-01 -2.23465690e-12 
 3.02085216e-01 -1.01518793e-12  3.02085216e-01 -2.18847163e-12 
 3.02735128e-01 -1.03828057e-12  3.02735128e-01 -2.26663133e-12 
 3.02984946e-01 -1.04805054e-12  3.02984946e-01 -2.14672724e-12 
 3.02782380e-01 -1.01163522e-12  3.02782380e-01 -2.30482300e-12 
 3.02721220e-01 -1.00186526e-12  3.02721220e-01 -2.21511698e-12 
 3.01686554e-01 -9.86766224e-13  3.01686554e-01 -2.23110419e-12 
 3.01814430e-01 -1.00897068e-12  3.01814430e-01 -2.16449081e-12 
 3.01940350e-01 -1.03028697e-12  3.01940350e-01 -2.16715534e-12 
 3.02568833e-01 -1.01252340e-12  3.02568833e-01 -2.26929586e-12 
 3.02067987e-01 -1.02851061e-12  3.02067987e-01 -2.25153229e-12 
 3.02793487e-01 -1.04005693e-12  3.02793487e-01 -2.28617125e-12 
 3.02146097e-01 -1.02584607e-12  3.02146097e-01 -2.25952590e-12 
 3.02096634e-01 -9.98312544e-13  3.02096634e-01 -2.19113616e-12 
 3.02510460e-01 -1.01607611e-12  3.02510460e-01 -2.25242047e-12 
 3.02877739e-01 -1.03206332e-12  3.02877739e-01 -2.20801155e-12 
 3.03305181e-01 -1.04272146e-12  3.03305181e-01 -2.27906582e-12 
 3.02616027e-01 -9.96536187e-13  3.02616027e-01 -2.24531505e-12 
 3.03075532e-01 -1.04360964e-12  3.03075532e-01 -2.22399876e-12 
 3.02901570e-01 -1.04805054e-12  3.02901570e-01 -2.25508501e-12 
 3.02034106e-01 -9.94759830e-13  3.02034106e-01 -2.27995400e-12 
 3.03542069e-01 -1.04716236e-12  3.03542069e-01 -2.21422880e-12 
 3.02230569e-01 -1.01163522e-12  3.02230569e-01 -2.22577512e-12 
 3.02495937e-01 -1.03028697e-12  3.02495937e-01 -2.30482300e-12 
 3.01533312e-01 -9.86766224e-13  3.01533312e-01 -2.10853557e-12 
 3.01975312e-01 -1.02318154e-12  3.01975312e-01 -2.16271445e-12 
 3.03265954e-01 -1.03206332e-12  3.03265954e-01 -2.21600516e-12 
